,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Dingle,PH,88.81,10.9995,122.6711,SEGAYA PROPERTY
4,Faanui,PF,80.58,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
5,Taitung,TW,89.87,22.7583,121.1444,Taitung Bali Suites Hotel
6,Rikitea,PF,75.04,-23.1203,-134.9692,People ThankYou
7,Kahului,US,76.96,20.8947,-156.47,Maui Seaside Hotel
8,Garut,ID,79.86,-7.2024,107.8878,favehotel
14,Pecos,US,80.82,31.4229,-103.4932,Knights Inn Pecos
19,Butaritari,KI,83.39,3.0707,172.7902,Isles Sunset Lodge
26,Hilo,US,79.29,19.7297,-155.09,Hilo Hawaiian Hotel
28,Dawlatabad,AF,85.06,36.4141,64.9053,WASIM ASGAR KHAN
30,Cabo San Lucas,MX,85.51,22.8909,-109.9124,Hotel Tesoro Los Cabos
31,Vaini,TO,75.2,-21.2,-175.2,Keleti Beach Resort
32,Ocos,GT,82.31,14.5094,-92.1933,Auto Hotel El Soñador
39,Yangcun,CN,88.27,39.3639,117.0603,Hanting Express Tianjin Wuqing Jingjin Road
42,Hambantota,LK,86.34,6.1241,81.1185,Bungalow 63
43,Grants,US,77.23,35.1473,-107.8514,"Motel 6 Grants, NM"
44,Mount Isa,AU,85.77,-20.7333,139.5,ibis Styles Mt Isa Verona
59,Bubaque,GW,80.53,11.2833,-15.8333,"Casa Dora, Bubaque"
60,Auki,SB,84.83,-8.7676,160.7034,Auki Motel
63,Lorengau,PG,85.86,-2.0226,147.2712,Lorengau Harbourside Hotel
64,Kapaa,US,80.58,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Victoria,HK,89.96,22.2855,114.1577,Mini Hotel Central
80,Oranjestad,AW,82.4,12.524,-70.027,Divi Village Golf & Beach Resort
81,Port Hedland,AU,78.85,-20.3167,118.5667,The Esplanade Hotel
84,Manadhoo,MV,83.23,5.7667,73.3833,Vevu Guesthouse
86,Najran,SA,81.39,17.4924,44.1277,محمد هادي ال فطيح
89,Carolina,PR,82.29,18.3808,-65.9574,Motel Fantasy Star
91,Atuona,PF,79.79,-9.8,-139.0333,Villa Enata
99,Ixtapa,MX,82.22,20.7,-105.2,Hotel Plaza Providencia
100,Manavalakurichi,IN,84.29,8.1333,77.3,Udaya Boys Hostel
102,San Patricio,US,81.84,28.017,-97.5169,"Motel 6 Sinton, TX"
103,Sorong,ID,81.23,-0.8833,131.25,waigo splash hotel
104,Alta Floresta,BR,78.21,-9.8756,-56.0861,Floresta Amazonica Hotel
106,Glenwood Springs,US,79.83,39.5505,-107.3248,Glenwood Springs Cedar Lodge
107,Matara,LK,83.88,5.9485,80.5353,Amaloh Boutique Resort
114,Hithadhoo,MV,82.45,-0.6,73.0833,Scoop Guest House
115,Tura,IN,85.46,25.5198,90.2201,Hotel RIKMAN Continental
119,Bairiki,KI,82.94,1.3292,172.9752,Tarawa Boutique Hotel
121,Tessalit,ML,89.22,20.1986,1.0114,
122,Mayumba,GA,75.83,-3.432,10.6554,LIKWALE LODGE
123,Derzhavinsk,KZ,81.07,51.1,66.3167,Ooo.khim Baza
139,Waingapu,ID,85.55,-9.6567,120.2641,Pondok Wisata Elim
141,Santa Ana,US,88.34,33.7456,-117.8678,Santa Ana Travel Inn
145,Cosala,MX,78.12,24.4125,-106.6908,Hotel Real del Conde
147,Touros,BR,75.38,-5.1989,-35.4608,INN NEW HORIZON
149,Port Blair,IN,84.49,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
151,Kirakira,SB,84.47,-10.4544,161.9205,SanBiz Lodge
160,Acapulco,MX,79.99,16.8634,-99.8901,HS Hotsson Smart Acapulco
166,Nha Trang,VN,89.6,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
170,Payo,ID,88.45,-3.7508,103.6372,Mess keban agung
178,Vinh Long,VN,80.58,10.25,105.9667,Phuong Thao Homestay
182,Cayenne,GF,81.09,4.9333,-52.3333,Hôtel Le Dronmi
185,Hobyo,SO,78.1,5.3505,48.5268,Halane Hotel and Restaurent
187,Xichang,CN,83.88,27.8964,102.2634,Xichang ibis Hotel
190,Puerto Escondido,MX,80.22,15.85,-97.0667,Aldea del Bazar Hotel and Spa
191,Kismayo,SO,77.83,-0.3582,42.5454,Agan-Hotel
193,Gigmoto,PH,87.98,13.7796,124.39,Cj's Travellers Inn
195,Kollam,IN,84.07,8.8833,76.6,Nani Hotels and Resorts
201,Lamu,KE,77.22,-2.2717,40.902,Lamu House
204,Buchanan,LR,77.59,5.8808,-10.0467,Kamaneahn Hotel Inc
206,Alofi,NU,77.41,-19.0595,-169.9187,Taloa Heights
207,Agadez,NE,81.63,19.75,10.25,
210,Akdepe,TM,80.6,42.0551,59.3788,Мой дом
211,Acajutla,SV,78.8,13.5928,-89.8275,asi es
216,Poquoson,US,79.0,37.1224,-76.3458,Whitehouse Cove
217,Hirara,JP,83.89,24.8,125.2833,Hotel Atoll Emerald Miyakojima
220,Airai,TL,75.87,-8.9266,125.4092,Juvinal Martin
223,Meulaboh,ID,77.27,4.1363,96.1285,Kost Pria
225,Georgetown,MY,87.75,5.4112,100.3354,Cititel Penang
230,Tiarei,PF,80.62,-17.5333,-149.3333,Le Rocher de Tahiti
232,Tutoia,BR,79.27,-2.7619,-42.2744,Pousada Guará's
233,Mogadishu,SO,78.89,2.0371,45.3438,Hotel Juba
235,Isla Mujeres,MX,78.17,21.2311,-86.731,Hotel La Joya Isla Mujeres
236,Sarakhs,IR,86.74,36.5449,61.1577,مهمان سرای شرکت گاز
246,Bonthe,SL,78.3,7.5264,-12.505,Bonthe Holiday Village
248,Megion,RU,75.22,61.0296,76.1136,Komfort Hotel
257,Beyneu,KZ,84.42,45.3167,55.2,NUR
260,Samarai,PG,82.15,-10.6167,150.6667,Nuli Sapi
261,Honiara,SB,84.69,-9.4333,159.95,Heritage Park Hotel
262,Naifaru,MV,83.08,5.4444,73.3657,Naifaru Residence Guest House
264,Fare,PF,80.04,-16.7,-151.0167,Maitai Lapita Village Huahine
268,Aswan,EG,80.2,24.0934,32.907,Nuba Nile
269,Male,MV,85.95,4.1748,73.5089,Hotel Octave Maldives
271,Bengkulu,ID,85.24,-3.8004,102.2655,Grage Hotel Bengkulu
273,Karratha,AU,77.54,-20.7377,116.8463,ibis Styles Karratha
288,Dahanu,IN,84.45,19.9667,72.7333,Pearline Beach Villas
306,Chalus,IR,78.58,36.655,51.4204,نظام مهندسي ساختمان چالوس
310,Gushikawa,JP,80.19,26.3544,127.8686,Kirari Guest House
311,Kuah,MY,84.36,6.3265,99.8432,Azio Hotel
313,Sabha,LY,75.31,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
316,Bathsheba,BB,81.07,13.2167,-59.5167,Atlantis Hotel
319,Kalianget,ID,85.55,-7.05,113.9333,Pesanggrahan Garam
325,Balabac,PH,86.85,7.9868,117.0645,Sing and Swing Lodge
326,Yanam,IN,86.4,16.7333,82.2167,The Regency Hotel
328,Scottsbluff,US,86.23,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
332,Hasaki,JP,85.17,35.7333,140.8333,Hotel Sunrise Choshi
341,Harper,LR,77.4,4.375,-7.7169,Screensaver
344,Sinnar,SD,80.46,13.5691,33.5672,هجو الطاهر
346,Immokalee,US,78.91,26.4187,-81.4173,Seminole Casino Hotel Immokalee
347,Basey,PH,88.12,11.2817,125.0683,Mary Land Home Stay
349,Kununurra,AU,87.78,-15.7667,128.7333,Hotel Kununurra
350,Key West,US,82.99,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
354,Salinopolis,BR,77.47,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
357,Carlsbad,US,77.14,33.1581,-117.3506,Carlsbad Inn Beach Resort
362,Veraval,IN,86.5,20.9,70.3667,Lords Inn Somnath
363,Pascagoula,US,80.65,30.3658,-88.5561,Regency Inn
368,Riyadh,SA,87.85,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
372,Ugoofaaru,MV,83.23,5.6667,73.0,Ungoofaaru Inn
