City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,0,Port Elizabeth,ZA,-33.918,25.5701,54.1,87,81,5.23,broken clouds
1,1,Bethel,US,41.3712,-73.414,66.04,89,93,3.65,overcast clouds
2,2,Dingle,PH,10.9995,122.6711,88.81,61,75,9.48,broken clouds
3,3,Tuktoyaktuk,CA,69.4541,-133.0374,43.18,71,80,11.01,broken clouds
4,4,Faanui,PF,-16.4833,-151.75,80.58,78,66,20.04,light rain
5,5,Taitung,TW,22.7583,121.1444,89.87,62,75,12.66,broken clouds
6,6,Rikitea,PF,-23.1203,-134.9692,75.04,80,100,11.03,overcast clouds
7,7,Kahului,US,20.8947,-156.47,76.96,85,98,10.76,overcast clouds
8,8,Garut,ID,-7.2024,107.8878,79.86,54,20,2.75,moderate rain
9,9,East London,ZA,-33.0153,27.9116,61.27,77,100,8.34,overcast clouds
10,10,Beringovskiy,RU,63.05,179.3167,40.51,92,65,9.66,broken clouds
11,11,Lebu,CL,-37.6167,-73.65,44.73,73,77,10.92,broken clouds
12,12,Albany,US,42.6001,-73.9662,63.03,94,93,2.06,overcast clouds
13,13,Ushuaia,AR,-54.8,-68.3,37.06,81,20,16.11,few clouds
14,14,Pecos,US,31.4229,-103.4932,80.82,44,1,10.36,clear sky
15,15,Tiksi,RU,71.6872,128.8694,38.41,90,100,15.95,light rain
16,16,Khatanga,RU,71.9667,102.5,63.43,54,38,10.8,scattered clouds
17,17,Zakamensk,RU,50.3741,103.2863,44.35,84,100,6.2,overcast clouds
18,18,Ukiah,US,39.1502,-123.2078,66.2,45,1,5.75,clear sky
19,19,Butaritari,KI,3.0707,172.7902,83.39,76,21,14.65,light rain
20,20,Broome,US,42.2506,-75.833,60.66,96,1,1.81,clear sky
21,21,Busselton,AU,-33.65,115.3333,60.08,63,25,14.0,scattered clouds
22,22,Punta Arenas,CL,-53.15,-70.9167,36.46,78,58,5.68,broken clouds
23,23,Dudinka,RU,69.4058,86.1778,55.56,76,83,16.51,broken clouds
24,24,Hermanus,ZA,-34.4187,19.2345,55.9,77,75,3.62,broken clouds
25,25,Mataura,NZ,-46.1927,168.8643,50.49,99,100,1.5,overcast clouds
26,26,Hilo,US,19.7297,-155.09,79.29,93,98,6.06,light rain
27,27,Dikson,RU,73.5069,80.5464,42.17,92,30,15.79,scattered clouds
28,28,Dawlatabad,AF,36.4141,64.9053,85.06,9,0,8.46,clear sky
29,29,Kodiak,US,57.79,-152.4072,52.97,74,23,11.86,few clouds
30,30,Cabo San Lucas,MX,22.8909,-109.9124,85.51,81,88,9.66,overcast clouds
31,31,Vaini,TO,-21.2,-175.2,75.2,79,100,23.31,overcast clouds
32,32,Ocos,GT,14.5094,-92.1933,82.31,80,100,6.31,overcast clouds
33,33,Thompson,CA,55.7435,-97.8558,56.34,80,80,5.06,broken clouds
34,34,Olmos,PE,-5.9847,-79.7453,65.89,78,53,1.81,broken clouds
35,35,Ostrovnoy,RU,68.0531,39.5131,55.87,62,47,16.13,scattered clouds
36,36,Cadillac,US,44.2519,-85.4012,59.34,72,1,4.61,clear sky
37,37,Caravelas,BR,-17.7125,-39.2481,68.72,79,29,6.06,scattered clouds
38,38,New Norfolk,AU,-42.7826,147.0587,57.65,82,100,2.33,overcast clouds
39,39,Yangcun,CN,39.3639,117.0603,88.27,39,83,9.4,broken clouds
40,40,Torbay,CA,47.6666,-52.7314,44.76,91,2,8.21,clear sky
41,41,Chala,TZ,-7.5833,31.2667,51.73,58,99,4.76,overcast clouds
42,42,Hambantota,LK,6.1241,81.1185,86.34,74,20,14.97,few clouds
43,43,Grants,US,35.1473,-107.8514,77.23,8,1,9.22,clear sky
44,44,Mount Isa,AU,-20.7333,139.5,85.77,30,77,9.22,broken clouds
45,45,Lebedyn,UA,50.5852,34.4849,64.72,90,8,6.98,clear sky
46,46,Lompoc,US,34.6391,-120.4579,71.28,84,40,20.0,mist
47,47,Batagay,RU,67.6333,134.6333,62.78,46,44,7.43,scattered clouds
48,48,Devils Lake,US,48.1128,-98.8651,71.71,69,0,8.3,clear sky
49,49,Geraldton,AU,-28.7667,114.6,65.12,67,100,9.22,overcast clouds
50,50,Norman Wells,CA,65.282,-126.8329,59.02,60,34,3.51,scattered clouds
51,51,Saint-Augustin,CA,51.226,-58.6502,47.14,82,100,5.23,overcast clouds
52,52,Clyde River,CA,70.4692,-68.5914,28.13,81,9,4.18,clear sky
53,53,Trelew,AR,-43.249,-65.3051,39.72,68,0,9.71,clear sky
54,54,Yellowknife,CA,62.456,-114.3525,62.26,68,82,14.5,broken clouds
