City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mayya,RU,2021-06-14 05:24:11,61.7333,130.2811,72.72,29,61,3.04
1,Geraldton,AU,2021-06-14 05:24:12,-28.7667,114.6,70.21,64,40,18.41
2,Key West,US,2021-06-14 05:23:44,24.5557,-81.7826,82.99,78,1,12.66
3,Krasnoselkup,RU,2021-06-14 05:24:13,65.7,82.4667,70.21,51,60,13.96
4,Bredasdorp,ZA,2021-06-14 05:24:13,-34.5322,20.0403,47.28,93,1,5.75
5,Ushuaia,AR,2021-06-14 05:20:28,-54.8,-68.3,37.06,65,90,9.22
6,Ulladulla,AU,2021-06-14 05:24:14,-35.35,150.4667,61.88,69,50,4.81
7,Puerto Ayora,EC,2021-06-14 05:24:14,-0.7393,-90.3518,72.5,75,96,9.1
8,Kampene,CD,2021-06-14 05:24:14,-3.6,26.6667,70.77,68,84,2.1
9,Busselton,AU,2021-06-14 05:24:15,-33.65,115.3333,56.08,62,91,22.62
10,Vaini,TO,2021-06-14 05:24:16,-21.2,-175.2,75.36,83,75,8.05
11,Yerbogachen,RU,2021-06-14 05:24:16,61.2767,108.0108,61.72,61,99,7.34
12,Punta Arenas,CL,2021-06-14 05:22:36,-53.15,-70.9167,37.51,87,75,16.11
13,Dungarpur,IN,2021-06-14 05:24:17,23.8333,73.7167,92.5,45,8,15.68
14,Petropavlovsk-Kamchatskiy,RU,2021-06-14 05:24:17,53.0452,158.6483,55.99,72,40,8.95
15,Pangody,RU,2021-06-14 05:24:18,65.85,74.4859,73.94,45,97,16.64
16,Bluff,NZ,2021-06-14 05:24:18,-46.6,168.3333,49.8,88,99,5.37
17,Ribeira Grande,PT,2021-06-14 05:24:19,38.5167,-28.7,68.22,81,16,2.26
18,Pemangkat,ID,2021-06-14 05:24:19,1.1667,108.9667,87.4,61,57,4.5
19,Plastun,RU,2021-06-14 05:24:20,44.7561,136.2939,58.35,76,95,8.14
20,Mukdahan,TH,2021-06-14 05:24:20,16.5833,104.5,89.87,57,74,16.08
21,Cherskiy,RU,2021-06-14 05:24:20,68.75,161.3,63.16,31,81,10.6
22,Lagoa,PT,2021-06-14 05:24:21,39.05,-27.9833,66.67,82,6,2.37
23,Hermanus,ZA,2021-06-14 05:24:21,-34.4187,19.2345,50.9,84,1,7.31
24,Carnarvon,AU,2021-06-14 05:24:22,-24.8667,113.6333,73.47,54,1,19.57
25,Siilinjarvi,FI,2021-06-14 05:21:01,63.0833,27.6667,57.22,62,0,6.91
26,Bati,ET,2021-06-14 05:24:23,11.1833,40.0167,80.92,24,96,4.7
27,Montevideo,UY,2021-06-14 05:20:35,-34.8335,-56.1674,53.31,87,0,10.36
28,Cape Town,ZA,2021-06-14 05:24:23,-33.9258,18.4232,52.88,98,75,1.99
29,Ancud,CL,2021-06-14 05:24:24,-41.8697,-73.8203,35.42,76,6,5.44
30,Surab,PK,2021-06-14 05:24:24,28.4914,66.2585,90.95,5,0,14.5
31,Emet,TR,2021-06-14 05:24:24,39.343,29.2585,56.91,85,85,3.71
32,Bay-Khaak,RU,2021-06-14 05:24:25,51.1667,94.5,62.13,38,70,6.89
33,Kapaa,US,2021-06-14 05:24:26,22.0752,-159.319,80.58,77,20,12.66
34,Rikitea,PF,2021-06-14 05:23:10,-23.1203,-134.9692,75.11,78,100,14.65
35,Kavieng,PG,2021-06-14 05:24:26,-2.5744,150.7967,85.46,63,8,8.97
36,Upernavik,GL,2021-06-14 05:24:27,72.7868,-56.1549,33.94,78,100,5.75
37,Bambous Virieux,MU,2021-06-14 05:24:27,-20.3428,57.7575,76.21,69,20,16.11
38,Arcos,BR,2021-06-14 05:24:28,-20.2819,-45.5394,54.5,86,1,2.95
39,Launceston,AU,2021-06-14 05:24:28,-41.45,147.1667,58.64,69,90,1.99
40,Zhigansk,RU,2021-06-14 05:24:29,66.7697,123.3711,53.8,78,100,14.65
41,Mataura,NZ,2021-06-14 05:24:29,-46.1927,168.8643,49.48,95,98,2.55
42,Valparaiso,CL,2021-06-14 05:23:44,-33.0393,-71.6273,54.48,81,92,3.74
43,Yellowknife,CA,2021-06-14 05:24:30,62.456,-114.3525,61.32,63,40,13.8
44,Ilulissat,GL,2021-06-14 05:24:31,69.2167,-51.1,37.42,75,90,5.75
45,Castro,BR,2021-06-14 05:24:31,-24.7911,-50.0119,44.47,97,3,3.96
46,Tondano,ID,2021-06-14 05:24:32,1.3038,124.9112,75.29,88,100,1.59
47,Jamestown,US,2021-06-14 05:20:10,42.097,-79.2353,64.04,72,1,1.99
48,Kabansk,RU,2021-06-14 05:24:32,52.0486,106.6528,66.69,45,83,4.56
49,Bontang,ID,2021-06-14 05:24:33,0.1333,117.5,84.25,62,100,4.07
50,Cidreira,BR,2021-06-14 05:24:33,-30.1811,-50.2056,58.69,80,0,11.9
51,Georgetown,MY,2021-06-14 05:24:33,5.4112,100.3354,82.33,80,20,6.91
52,Baghdad,IQ,2021-06-14 05:24:34,33.3406,44.4009,91.31,19,0,10.36
53,Constitucion,CL,2021-06-14 05:24:34,-35.3333,-72.4167,52.68,79,100,7.25
54,Cabo San Lucas,MX,2021-06-14 05:20:14,22.8909,-109.9124,81.52,80,82,5.97
55,Dali,CN,2021-06-14 05:24:35,25.7,100.1833,78.39,59,76,5.3
56,Nikolskoye,RU,2021-06-14 05:24:35,59.7035,30.7861,64.29,64,88,3.58
57,Chokurdakh,RU,2021-06-14 05:24:36,70.6333,147.9167,67.23,30,100,2.55
58,Bud,US,2021-06-14 05:24:36,39.447,-86.1758,68.34,69,0,4.16
59,Shihezi,CN,2021-06-14 05:24:37,44.3,86.0333,70.93,28,46,13.62
60,Butaritari,KI,2021-06-14 05:24:37,3.0707,172.7902,82.17,77,42,9.53
61,Chuy,UY,2021-06-14 05:24:38,-33.6971,-53.4616,53.96,91,0,6.29
