City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,62.94,66,28,10.92,scattered clouds
1,Hermanus,ZA,-34.4187,19.2345,56.89,85,96,7.05,overcast clouds
2,Mar Del Plata,AR,-38.0023,-57.5575,48.99,71,75,11.99,broken clouds
3,Ushuaia,AR,-54.8,-68.3,35.26,100,0,13.8,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,35.71,93,75,5.75,broken clouds
5,Grand Gaube,MU,-20.0064,57.6608,77.38,69,0,5.99,clear sky
6,Coihaique,CL,-45.5752,-72.0662,22.95,93,0,2.3,clear sky
7,Nelson Bay,AU,-32.7167,152.15,67.95,76,1,1.01,clear sky
8,Port-Gentil,GA,-0.7193,8.7815,80.56,83,75,10.36,broken clouds
9,Burnie,AU,-41.0667,145.9167,54.91,87,100,11.48,moderate rain
10,Vaini,TO,-21.2,-175.2,75.36,88,75,6.91,broken clouds
11,Mataura,NZ,-46.1927,168.8643,48.47,98,100,2.8,overcast clouds
12,Mets Masrik,AM,40.2183,45.7681,70.05,48,0,11.83,clear sky
13,Lorengau,PG,-2.0226,147.2712,83.64,73,68,8.55,broken clouds
14,Lavrentiya,RU,65.5833,-171.0,39.2,85,56,6.62,broken clouds
15,Moose Factory,CA,51.2585,-80.6094,41.0,93,1,5.75,clear sky
16,New Norfolk,AU,-42.7826,147.0587,54.91,85,100,2.73,light rain
17,Faya,SA,18.3851,42.4509,77.52,16,65,4.61,broken clouds
18,Zmeinogorsk,RU,51.1567,82.195,73.18,44,3,10.78,clear sky
19,Albany,US,42.6001,-73.9662,59.09,86,57,6.76,broken clouds
20,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,72,40,13.42,scattered clouds
21,Saskylakh,RU,71.9167,114.0833,75.45,31,9,10.29,clear sky
22,Narsaq,GL,60.9167,-46.05,43.02,87,92,1.95,overcast clouds
23,Kapaa,US,22.0752,-159.319,80.58,82,75,12.66,light rain
24,Kaitangata,NZ,-46.2817,169.8464,48.24,95,99,3.4,overcast clouds
25,Dayong,CN,25.0209,118.2898,96.48,58,100,5.61,light rain
26,Bluff,NZ,-46.6,168.3333,48.79,87,100,17.07,light rain
27,Bulgan,MN,48.8125,103.5347,60.94,29,65,13.78,broken clouds
28,Tiksi,RU,71.6872,128.8694,42.84,54,100,4.34,overcast clouds
29,Cape Town,ZA,-33.9258,18.4232,57.61,91,75,9.22,broken clouds
30,Port Hawkesbury,CA,45.6169,-61.3485,56.7,96,90,8.01,mist
31,Alice Springs,AU,-23.7,133.8833,63.95,29,41,8.05,scattered clouds
32,Cherskiy,RU,68.75,161.3,46.58,83,99,12.75,light rain
33,Dikson,RU,73.5069,80.5464,32.74,87,69,2.3,broken clouds
34,Te Anau,NZ,-45.4167,167.7167,47.71,95,99,1.95,light rain
35,Muros,ES,42.7762,-9.0603,68.85,85,86,4.74,overcast clouds
36,Cabedelo,BR,-6.9811,-34.8339,72.27,92,80,10.18,broken clouds
37,Tilichiki,RU,60.4667,166.1,56.88,54,50,8.32,scattered clouds
38,Hilo,US,19.7297,-155.09,74.93,77,1,4.61,clear sky
39,Aksu,CN,41.1231,80.2644,79.03,23,97,7.43,overcast clouds
40,Fitii,PF,-16.7333,-151.0333,79.95,78,58,23.76,light rain
41,Rikitea,PF,-23.1203,-134.9692,74.75,76,53,21.34,light rain
42,Casper,US,42.8666,-106.3131,77.5,22,1,4.61,clear sky
43,Turinsk,RU,58.0458,63.696,78.46,48,73,5.97,broken clouds
44,San Patricio,US,28.017,-97.5169,85.84,82,1,4.47,clear sky
45,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,20.71,few clouds
46,Bredasdorp,ZA,-34.5322,20.0403,51.12,87,88,2.3,overcast clouds
47,Ushumun,RU,52.7833,126.5333,60.51,88,100,5.53,overcast clouds
48,Yuzhou,CN,34.1628,113.4639,73.67,54,87,4.38,overcast clouds
49,Norman Wells,CA,65.282,-126.8329,60.84,48,1,11.5,clear sky
50,Cascais,PT,38.6979,-9.4215,66.61,83,92,1.99,overcast clouds
51,Atuona,PF,-9.8,-139.0333,79.93,74,16,20.49,few clouds
52,Nalgonda,IN,17.05,79.2667,88.59,52,100,15.37,overcast clouds
53,Los Algarrobos,PA,8.5,-82.4333,78.8,86,96,1.36,overcast clouds
54,Butaritari,KI,3.0707,172.7902,82.74,79,100,15.39,light rain
55,Barrow,US,71.2906,-156.7887,39.22,81,40,17.27,scattered clouds
56,Abaetetuba,BR,-1.7181,-48.8825,77.04,96,30,3.78,scattered clouds
57,Port Alfred,ZA,-33.5906,26.891,65.35,57,99,6.15,overcast clouds
58,Asau,RO,46.4333,26.4,64.96,82,54,11.95,broken clouds
59,Krasnoselkup,RU,65.7,82.4667,76.24,55,78,13.78,broken clouds
60,Oktyabrskiy,RU,54.4815,53.471,78.82,50,79,10.63,broken clouds
61,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,48,75,11.5,broken clouds
62,Puerto Ayora,EC,-0.7393,-90.3518,72.55,90,17,1.99,few clouds
63,Axim,GH,4.8699,-2.2405,77.65,84,89,6.08,light rain
64,Mahebourg,MU,-20.4081,57.7,77.25,83,40,8.05,scattered clouds
65,Hare Bay,CA,48.8499,-54.0148,45.75,95,100,8.43,overcast clouds
66,Fort-Shevchenko,KZ,44.5086,50.263,82.72,48,0,8.32,clear sky
67,Port Lincoln,AU,-34.7333,135.8667,59.72,67,15,14.09,few clouds
68,Geraldton,AU,-28.7667,114.6,68.13,59,8,11.5,clear sky
69,Bako,ET,5.7833,36.5667,66.42,81,100,2.64,overcast clouds
70,Kropotkin,RU,45.4375,40.5756,72.37,82,17,8.3,few clouds
71,Dingle,PH,10.9995,122.6711,89.82,61,81,7.49,light rain
72,Mount Darwin,ZW,-16.7725,31.5838,58.03,68,6,2.04,clear sky
73,Thoen,TH,17.6129,99.2161,77.14,94,99,4.32,overcast clouds
74,Port Macquarie,AU,-31.4333,152.9167,67.96,64,0,8.28,clear sky
75,Sao Filipe,CV,14.8961,-24.4956,73.65,84,89,5.95,overcast clouds
76,Senanga,ZM,-16.1167,23.2667,53.71,48,51,4.41,broken clouds
