City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Baoqing,CN,2021-06-11 07:36:59,46.3317,132.2111,63.68,90,100,8.66
1,Marsa Matruh,EG,2021-06-11 07:37:00,31.3525,27.2453,75.4,73,40,5.75
2,Barrow,US,2021-06-11 07:37:00,71.2906,-156.7887,32.02,93,90,5.75
3,Torbay,CA,2021-06-11 07:35:30,47.6666,-52.7314,38.75,97,90,13.8
4,Nikolskoye,RU,2021-06-11 07:37:01,59.7035,30.7861,73.8,39,98,3.76
5,Tuatapere,NZ,2021-06-11 07:37:02,-46.1333,167.6833,43.3,94,16,3.09
6,Flinders,AU,2021-06-11 07:37:02,-34.5833,150.8552,57.2,80,67,7.0
7,Vaini,TO,2021-06-11 07:37:02,-21.2,-175.2,73.56,78,40,9.22
8,Upernavik,GL,2021-06-11 07:37:03,72.7868,-56.1549,33.26,85,2,5.66
9,Jamestown,US,2021-06-11 07:37:03,42.097,-79.2353,68.36,78,1,1.01
10,Voi,KE,2021-06-11 07:37:04,-3.3945,38.563,80.64,43,88,11.23
11,Busselton,AU,2021-06-11 07:32:12,-33.65,115.3333,63.05,72,100,1.88
12,Tuktoyaktuk,CA,2021-06-11 07:37:04,69.4541,-133.0374,39.09,80,25,5.86
13,Carnarvon,AU,2021-06-11 07:37:05,-24.8667,113.6333,71.67,65,14,9.22
14,Sarakhs,IR,2021-06-11 07:37:05,36.5449,61.1577,98.74,15,0,0.0
15,Cayenne,GF,2021-06-11 07:37:06,4.9333,-52.3333,80.1,85,75,4.0
16,Hermanus,ZA,2021-06-11 07:37:06,-34.4187,19.2345,67.89,62,14,5.14
17,Maldonado,UY,2021-06-11 07:37:06,-34.6667,-54.9167,52.23,65,4,12.77
18,Brae,GB,2021-06-11 07:37:07,60.3964,-1.353,53.51,92,100,19.57
19,Acapulco,MX,2021-06-11 07:37:07,16.8634,-99.8901,77.34,88,100,5.68
20,Tilichiki,RU,2021-06-11 07:37:08,60.4667,166.1,46.24,75,96,4.12
21,Roald,NO,2021-06-11 07:37:08,62.5833,6.1333,67.12,94,90,16.11
22,Ribeira Grande,PT,2021-06-11 07:37:09,38.5167,-28.7,66.6,88,75,0.0
23,Albany,US,2021-06-11 07:37:09,42.6001,-73.9662,60.75,78,0,5.7
24,Pisco,PE,2021-06-11 07:37:10,-13.7,-76.2167,64.45,82,90,9.22
25,Nishihara,JP,2021-06-11 07:37:10,26.1842,127.7558,87.46,79,75,8.05
26,Rawson,AR,2021-06-11 07:37:11,-43.3002,-65.1023,50.27,63,100,10.51
27,Ushuaia,AR,2021-06-11 07:36:34,-54.8,-68.3,34.7,96,79,6.73
28,Yulara,AU,2021-06-11 07:37:11,-25.2406,130.9889,69.64,13,2,3.44
29,Bandar,ID,2021-06-11 07:37:12,2.05,99.75,93.2,42,54,4.32
30,Kununurra,AU,2021-06-11 07:37:12,-15.7667,128.7333,82.38,16,95,6.91
31,Riberalta,BO,2021-06-11 07:36:19,-10.9833,-66.1,76.5,73,99,0.38
32,Mount Gambier,AU,2021-06-11 07:37:13,-37.8333,140.7667,57.11,72,0,4.61
33,Belmonte,BR,2021-06-11 07:37:13,-15.8631,-38.8828,70.3,89,20,4.25
34,Wanning,CN,2021-06-11 07:37:14,18.8003,110.3967,82.53,86,100,9.17
35,Arraial Do Cabo,BR,2021-06-11 07:37:14,-22.9661,-42.0278,71.69,88,15,20.74
36,Linhares,BR,2021-06-11 07:37:15,-19.3911,-40.0722,66.45,97,18,2.55
37,Vershino-Darasunskiy,RU,2021-06-11 07:37:15,52.35,115.5167,77.49,22,38,10.33
38,Clyde River,CA,2021-06-11 07:37:15,70.4692,-68.5914,35.83,80,1,27.63
39,Rikitea,PF,2021-06-11 07:37:16,-23.1203,-134.9692,73.85,75,100,18.68
40,Matay,EG,2021-06-11 07:37:16,28.419,30.7792,95.83,20,0,12.88
41,Boyolangu,ID,2021-06-11 07:37:17,-8.1181,111.8935,82.35,74,61,9.19
42,Fort Morgan,US,2021-06-11 07:37:17,40.2503,-103.8,66.94,30,1,18.41
43,Grand Gaube,MU,2021-06-11 07:37:18,-20.0064,57.6608,79.38,63,90,11.99
44,Kemijarvi,FI,2021-06-11 07:37:18,66.7131,27.4306,73.47,40,5,14.03
45,Biltine,TD,2021-06-11 07:37:18,14.5333,20.9167,93.83,29,39,4.61
46,Geraldton,AU,2021-06-11 07:37:19,-28.7667,114.6,70.21,68,90,8.05
47,Kapaa,US,2021-06-11 07:37:19,22.0752,-159.319,78.78,78,75,5.01
48,Cape Town,ZA,2021-06-11 07:37:20,-33.9258,18.4232,68.11,100,0,3.44
49,Copiapo,CL,2021-06-11 07:37:20,-27.3667,-70.3333,46.09,33,0,2.55
50,Punta Arenas,CL,2021-06-11 07:37:21,-53.15,-70.9167,35.71,93,75,10.36
51,Hit,IQ,2021-06-11 07:37:21,33.6416,42.8251,92.53,17,0,18.28
52,Gilgit,PK,2021-06-11 07:37:22,35.9221,74.3087,90.36,18,39,5.01
53,Mar Del Plata,AR,2021-06-11 07:37:22,-38.0023,-57.5575,45.12,60,20,7.0
54,Kembe,CF,2021-06-11 07:37:22,4.6228,21.8865,84.69,58,100,1.59
55,Ippy,CF,2021-06-11 07:37:23,6.2679,21.2247,84.72,54,100,2.08
56,Dikson,RU,2021-06-11 07:37:23,73.5069,80.5464,32.47,99,100,3.47
57,Mataura,NZ,2021-06-11 07:37:24,-46.1927,168.8643,39.67,98,19,1.68
58,Santa Cruz,BO,2021-06-11 07:37:24,-17.8,-63.1667,63.86,82,75,18.41
